CID,SMILES,pred_lum,pred_PLQY
59342246,CC(C)(c1cccc(-c2[c-]cc(F)c(Cc3ccccc3)c2F)n1)c1cccc(-c2ccc(F)c(S(=O)(=O)c3ccccc3)c2F)n1,510,80.5
169234014,Cc1[c-]c(-c2nc(C(O)(CN)c3ccncc3)cc3c2OCC3C)c(F)cc1F,552,80.3
44390402,N#Cc1cc(-c2ccc(F)cc2)c(-c2[c-]cc(F)cc2F)nc1OCc1ccc(F)c(F)c1,529,80.3
169233983,CC1COc2c1cc(C(CN)c1cnoc1)nc2-c1[c-]c(Cl)c(F)cc1F,553,80.3
58709052,CC(C)(c1cccc(Oc2cccc(-c3[c-]cc(F)cc3F)n2)c1)c1ccccn1,523,80.2
59645747,[C-]#[N+]c1ncnc2c1ncn2-c1cccc(C(C)(C)c2cccc(-c3[c-]cc(F)cc3F)n2)n1,541,80.0
81870865,Nc1ccnc(-c2[c-]cc(F)c(F)c2F)c1,502,80.0
169264946,NC[C@@](O)(c1ccccc1)c1cc(C(O)O)c(F)c(-c2[c-]c(Cl)c(F)cc2F)n1,536,80.0
15022660,CSc1cc(-c2[c-]ccc(F)c2)nc(-c2ccc(F)cc2F)c1,546,79.9
170403830,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cnc(C3CC3)nc1)nc2-c1[c-]c(Cl)c(F)cc1F,545,79.6
140151130,Nc1cc(-c2[c-]cc(F)c(F)c2F)ncc1Cl,539,79.6
67419169,Nc1cc(-c2[c-]cc(F)cc2F)nc(OC(=O)O)c1Cl,517,79.5
140151134,Cc1c(F)c[c-]c(-c2cc(N)c(Cl)cn2)c1F,517,79.4
15022645,CSc1cc(-c2[c-]cc(F)cc2F)nc(-c2ccccc2Cl)c1,541,79.4
170403853,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cnoc1)nc2-c1[c-]c(Cl)c(F)cc1F,547,79.4
71084448,Cc1c(F)c[c-]c(-c2cc(N)ccn2)c1F,485,79.3
11362542,CC(C)S(=O)(=O)NC1CCC(c2cc(-c3[c-]cc(F)cc3F)nc3[nH]cnc23)CC1,564,79.3
135945978,CSc1nc(O)c2c(n1)CCN(Cc1ccc(-c3[c-]cc(F)cc3F)nc1)C2,540,79.3
170403634,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccc(F)n1)nc2-c1[c-]c(Cl)c(F)cc1F,547,79.1
156073304,COC[C@@]1(N)CCCN(c2cnc(-c3[c-]cc(F)cc3F)cc2Cn2cnc3c(N)ncnc32)C1,552,79.0
170299072,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccnc1)nc2-c1[c-]c(Cl)c(F)cc1F,546,79.0
121375167,COc1c(F)c[c-]c(-c2cc(N)c(Cl)c(OC(=O)O)n2)c1F,524,78.9
167534708,O=C(CNS(=O)(=O)c1ccccc1)c1c(F)c[c-]c(-c2ccccn2)c1F,500,78.8
59236791,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-n4cnc(C(C)C)n4)n3)n2)c1F,518,78.7
170403843,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccc(S(C)(=O)=O)c1)nc2-c1[c-]c(Cl)c(F)cc1F,545,78.7
161596653,CC(C)(c1cc(-c2ccccc2)cc(-c2[c-]cc(F)cc2F)n1)c1cc(-c2ccccc2)cc(-c2ccc(Cl)cc2F)n1,544,78.6
169234261,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1ccsc1)nc2-c1[c-]c(Cl)c(F)cc1F,546,78.4
170408607,N=C(O)[C@@]12CC1Oc1c2cc([C@@](O)(CN)c2cnc(C3CC3)nc2)nc1-c1[c-]c(Cl)c(F)cc1F,547,78.3
58004242,CC(C)(c1cccc(-c2[c-]cc(F)c(C(F)(F)F)c2F)n1)c1cc(-c2ccccn2)c(F)c(C(F)(F)F)c1F,515,78.2
170378279,CC(C)(O)c1cc([C@@](O)(CN)c2ccccc2)nc(-c2[c-]c(Cl)c(F)cc2F)c1F,557,78.2
170299078,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1ccccc1F)nc2-c1[c-]c(Cl)c(F)cc1F,538,78.1
158016047,CC(C)(c1cccc(-c2[c-]cc(F)cc2F)n1)c1cccc(-n2cnc([Si](C)(C)C)n2)n1,540,78.1
46195077,C[C@@H](N=C(O)c1cc(-c2[c-]cc(F)cc2F)nc(C(C)(C)O)c1)C1=CN([O-])C(C(F)(F)F)C=C1,548,77.9
143762304,C=Cc1ccc(COc2ccnc(-c3[c-]cc(F)cc3F)c2)cc1,531,77.9
58620913,CC(C)(c1cccc(-c2[c-]cc(F)c(C(F)C(F)(F)F)c2F)n1)c1cccc(-c2ccc(F)c(C(F)(C(F)(F)F)C(F)(F)F)c2F)n1,529,77.8
58756106,O=C(O)c1cccc(C(c2cccc(C(=O)O)n2)(c2cccc(-c3[c-]cc(F)c(C(F)(F)F)c3F)n2)c2cccc(-c3ccc(F)c(C(F)(F)F)c3F)n2)n1,531,77.8
169674395,C[C@@H]1COc2c1cc([C@@](O)(CN)C1CC1)nc2-c1[c-]c(F)c(F)cc1F,549,77.7
170299110,C[C@]1(C(O)=NC2CC2)COc2c1cc([C@@](O)(CN)c1ccccc1)nc2-c1[c-]c(Cl)c(F)cc1F,547,77.7
142747029,CC(C)(O)c1ccc(N2CCN(c3c[c-]c(-c4c(-c5ccc(F)cc5F)nc(c5nnnn5C(C)(C)O)c(F)c4F)cc3)CC2)cn1,538,77.7
79021512,Nc1ccnc(-c2[c-]cc(F)cc2F)c1,479,77.7
58831112,CC(C)(c1cc(N(c2ccccc2)c2ccccc2)cc(-c2cncnc2)n1)c1cc(N(c2ccccc2)c2ccccc2)cc(-c2[c-]cc(F)cc2F)n1,564,77.7
15022684,CSc1cc(-c2[c-]cc(F)cc2)nc(-c2ccc(F)cc2F)c1,531,77.7
170403850,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccc(Cl)n1)nc2-c1[c-]c(Cl)c(F)cc1F,549,77.6
170378255,NC[C@](O)(c1ccc(F)c(-c2[c-]c(Cl)c(F)cc2F)n1)C1CC1,541,77.6
167180534,Nc1ncnc2c1ncn2Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N1CCC[C@](N)(CC(F)F)C1,570,77.6
59645998,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-n4cnc5cccnc54)n3)n2)c1F,529,77.5
169234301,COc1cc([C@](O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)cc(F)n1,545,77.5
59226478,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3[c-]cc(F)cc3F)n2)C1,541,77.4
57703312,[C-]#[N+]c1c(F)c[c-]c(-c2cc(N(C)C)cc(C(C)(C)c3cccc(-n4cnc(C(C)(C)C)n4)n3)n2)c1F,583,77.4
59342095,Fc1c[c-]c(-c2cccc(C(c3ccccc3)(c3ccccc3)c3cccc(-c4ccc(F)c(C(F)(F)F)c4F)n3)n2)c(F)c1C(F)(F)F,531,77.4
57852197,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-n4cnc(C(C)(C)C)n4)n3)n2)c1F,559,77.4
68553673,C[C@@H]1C[C@@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3[c-]cc(F)cc3F)n2)C1,541,77.4
15022647,CSc1cc(-c2[c-]ccc(Cl)c2)nc(-c2ccc(F)cc2F)c1,545,77.4
46179665,C[C@@H]1C[C@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3[c-]cc(F)cc3F)n2)C1,541,77.4
59342117,CC(C)(C)c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-c4ccc(F)c(C(C)(C)C)c4F)n3)n2)c1F,534,77.3
58516816,CC(=O)c1c(F)c[c-]c(-c2cc3c(cn2)CCCC3)c1F,530,77.2
67004213,OC(c1c(F)c[c-]c(-c2cc3c(cn2)CCCC3)c1F)C(F)(F)F,520,77.2
22372842,CSc1ccc(-c2[c-]cc(F)c(F)c2F)nc1F,546,77.1
170520358,[2H]C([2H])([2H])C(O)(c1cc([C@@](O)(CN)c2ccccc2)nc(-c2[c-]c(Cl)c(F)cc2F)c1F)C([2H])([2H])[2H],557,77.1
170378308,COc1cc(C(O)=NC[C@@](O)(c2ccccc2)c2cc(C(O)=NC3CC3)c(F)c(-c3[c-]c(Cl)c(F)cc3F)n2)cc2cn(C3CC3)nc12,571,77.0
114256449,Cc1cc(-c2[c-]cc(F)c(F)c2F)ncc1N,541,76.9
57852393,CC(C)(C)c1ncn(-c2cccc(C(C)(C)c3cccc(-c4[c-]cc(F)c(C(F)(F)F)c4F)n3)n2)n1,558,76.9
164910647,COc1cc(C(O)=NC[C@](O)(c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)N)C2(F)CC2)cc2cc(Br)cnc12,581,76.9
57703306,CC(C)(c1cccc(-c2[c-]cc(F)cc2F)n1)c1ccnc(-c2ccccc2F)n1,516,76.8
58161806,CC(C)C(C)C(C=C(N)C(C)(C)c1cccc(-c2[c-]cc(F)cc2F)n1)=Nc1ccccc1,543,76.5
