L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,Charge,"λlum,nm",QY,"t, μs",solvent,"λabs,nm (most right)",eps,DOI,notes,примечания
FC(C=[C-]1)=CC=C1C2=NC3=C(N=C2)C=CC=C3,FC(C=[C-]1)=CC=C1C2=NC3=C(N=C2)C=CC=C3,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L5)2(bipy)]+,1,590,"0,04","3,416",CH3CN,460,2000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
CC1=CC(N=CC(C2=CC=C(F)C=[C-]2)=N3)=C3C=C1C,CC1=CC(N=CC(C2=CC=C(F)C=[C-]2)=N3)=C3C=C1C,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L6)2(bipy)]+,1,585,"0,08","4,872",CH3CN,450,7000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
FC1=CC(N=CC(C2=CC=C(F)C=[C-]2)=N3)=C3C=C1F,FC1=CC(N=CC(C2=CC=C(F)C=[C-]2)=N3)=C3C=C1F,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L7)2(bipy)]+,1,594,"0,09","1,387",CH3CN,449,4000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=CC=C3,FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=CC=C3,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L8)2(bipy)]+,1,579,"0,08","5,322",CH3CN,442,2000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=C(C)C(C)=C3,FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=C(C)C(C)=C3,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L9)2(bipy)]+,1,584,"0,1","6,518",CH3CN,439,7000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=C(F)C(F)=C3,FC(C(F)=[C-]1)=C(F)C=C1C2=NC3=C(N=C2)C=C(F)C(F)=C3,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,[Ir(L10)2(bipy)]+,1,583,"0,11","1,446",CH3CN,440,2000,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,measured in aerated solutions
CC1=CC(C2=CC(C(F)(F)F)=C(Cl)C=[C-]2)=NC3=C1C=CC=C3,CC1=CC(C2=CC(C(F)(F)F)=C(Cl)C=[C-]2)=NC3=C1C=CC=C3,CC1=CC=NC(C2=NC=CC(C)=C2)=C1,,FC(C1=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1)(F)F,Ir1,1,538,"0,98","2,15",CH2Cl2,,,10.1002/adpr.202100115,,
CC1=CC(C2=CC(C(F)(F)F)=C(Cl)C=[C-]2)=NC3=C1C=CC=C3,CC1=CC(C2=CC(C(F)(F)F)=C(Cl)C=[C-]2)=NC3=C1C=CC=C3,CC(C)(C)C1=CC=NC(C2=NC=CC(C(C)(C)C)=C2)=C1,,FC(C1=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1)(F)F,Ir2,1,538,"0,91","1,98",CH2Cl2,,,10.1002/adpr.202100115,,
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1(OC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C1,,F[P-](F)(F)(F)(F)F,Ir(ppy)2(BPE),1,525,"0,43","0,57",CH2Cl2,369,,10.3390/ma14185419,,
C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,N1(C2=CC=CC=N2)C=CC=N1,,F[P-](F)(F)(F)(F)F,1,1,486,"0,02","0,2",CH3CN,384,3700,10.1016/j.dyepig.2021.109477,,
C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,CN(C)C1=CC=NC(N2C=CC=N2)=C1,,F[P-](F)(F)(F)(F)F,2,1,489,"0,13","1,19",CH3CN,388,3600,10.1016/j.dyepig.2021.109477,,
C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,C1(C2=CC=CC=[C-]2)=NN=C(C3=CC=CC=C3)N1C4=CC=CC=C4,CN1[C-]=[N+](C[N+]2=[C-]N(C)C=C2)C=C1,,F[P-](F)(F)(F)(F)F,3,1,486,"0,37","5,5",CH3CN,384,4500,10.1016/j.dyepig.2021.109477,,
FC1=CC(F)=C(C2=NC=CC3=C2C=CC=C3)[C-]=C1,FC1=CC(F)=C(C2=NC=CC3=C2C=CC=C3)[C-]=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,3,0,622,"0,52",2,CH2Cl2,455,6600,10.1002/chem.202102006,,
FC1=CC(F)=[C-]C(C2=NC=CC3=C2C=CC=C3)=C1,FC1=CC(F)=[C-]C(C2=NC=CC3=C2C=CC=C3)=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,4,0,616,"0,51",5,CH2Cl2,471,3400,10.1002/chem.202102006,,
FC1=C(C2=CC=C(C(F)(F)F)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,FC1=C(C2=CC=C(C(F)(F)F)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,5a,0,632,"0,33","1,9",CH2Cl2,456,4300,10.1002/chem.202102006,,
FC1=C(C2=CC=C(C#N)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,FC1=C(C2=CC=C(C#N)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,6,0,627,"0,39",2,CH2Cl2,449,5900,10.1002/chem.202102006,,
FC1=C(C2=CC=C(C(C3=CC=CC=C3)=O)C=C2)C(F)=C(C4=NC=CC5=C4C=CC=C5)[C-]=C1,FC1=C(C2=CC=C(C(C3=CC=CC=C3)=O)C=C2)C(F)=C(C4=NC=CC5=C4C=CC=C5)[C-]=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,7,0,622,"0,34","1,9",CH2Cl2,444,4500,10.1002/chem.202102006,,
FC1=C(C2=CC=C(C(OC)=O)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,FC1=C(C2=CC=C(C(OC)=O)C=C2)C(F)=C(C3=NC=CC4=C3C=CC=C4)[C-]=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,8,0,627,"0,41",2,CH2Cl2,453,5100,10.1002/chem.202102006,,
N#Cc1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,N#Cc1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,,CN-CNIr,0,688,"0,08","0,24",THF,672,2300,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,QY and lifetime measured in CH2Cl2
CC(C)(C)c1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(C)(C)c1c[c-]c(-c2ncc(C#N)c3ccccc23)cc1,CC(=O)/C=C(/C)[O-],,,Bu-CNIr,0,700,"0,15","0,28",THF,657,3900,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,QY and lifetime measured in CH2Cl2
Cc1[c-]c(-c2ncc(C#N)c3ccccc23)cc(C)c1,Cc1[c-]c(-c2ncc(C#N)c3ccccc23)cc(C)c1,CC(=O)/C=C(/C)[O-],,,DM-CNIr,0,709,"0,08","0,29",THF,672,2900,10.1016/j.isci.2021.102911,QY and lifetime measured in CH2Cl2,QY and lifetime measured in CH2Cl2
C1(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=CC=C1,C1(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=CC=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,Ir1,0,500,"0,8","0,25",CH2Cl2,412,,10.1039/d1qm00708d,,
C1(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=CC=C1,C1(C2=[C-]C(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=C2)=NC=CC=C1,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,Ir2,0,498,"0,78","0,24",CH2Cl2,412,,10.1039/d1qm00708d,,
FC(C1=CC(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=C1)(F)F,FC(C1=CC(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=C1)(F)F,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,Ir3,0,551,"0,89","0,48",CH2Cl2,405,,10.1039/d1qm00708d,,
FC(C1=CC(C2=CC(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=[C-]2)=NC=C1)(F)F,FC(C1=CC(C2=[C-]C(C3=CC=CC=C3N4C5=C6C=CC=N5)=C4C6=C2)=NC=C1)(F)F,CC(C)(C)/C([O-])=C/C(C(C)(C)C)=O,,,Ir4,0,548,"0,85","0,44",CH2Cl2,405,,10.1039/d1qm00708d,,
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,,Ir1,0,679,"0,02","12,96",CH2Cl2,481,,10.1039/D1DT01557E,lifetime measured in film,lifetime measured in film
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,,Ir2,0,682,"0,06","2,76",CH2Cl2,481,,10.1039/D1DT01557E,lifetime measured in film,lifetime measured in film
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,,Ir3,0,683,"0,06","2,92",CH2Cl2,480,,10.1039/D1DT01557E,lifetime measured in film,lifetime measured in film
[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,C1=C/C(=C(\c2ccccc2)c2ccc[n-]2)N=C1,,,Ir4,0,687,"0,05","2,57",CH2Cl2,482,,10.1039/D1DT01557E,lifetime measured in film,lifetime measured in film
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(=O)/C=C(/C)[O-],,,Ir5,0,493,,,CH2Cl2,,,10.1039/D1DT01557E,,
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(=O)/C=C(/C)[O-],,,Ir6,0,525,,,CH2Cl2,,,10.1039/D1DT01557E,,
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,,Ir7,0,628,,,CH2Cl2,,,10.1039/D1DT01557E,,
[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,[c-]1cc(N(c2ccccc2)c2ccccc2)ccc1-c1nccc2ccccc12,CC(=O)/C=C(/C)[O-],,,Ir8,0,645,,,CH2Cl2,,,10.1039/D1DT01557E,,
C1(C2=CC=C(CC(C3=CC=CC=C3)C4=CC=CC=C4)C=[C-]2)=NC=CC=C1,C1(C2=CC=C(CC(C3=CC=CC=C3)C4=CC=CC=C4)C=[C-]2)=NC=CC=C1,c1ccc(-c2ccccn2)nc1,,F[P-](F)(F)(F)(F)F,1,1,595,"0,08","0,24",CH3CN,410,4800,10.1039/D1NJ02375F,,
