L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
CCCCCCCCn1nc2c(-c3nccc4ccccc34)[c-]cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2n1,CCCCCCCCn1nc2c(-c3nccc4ccccc34)[c-]cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2n1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(S(=O)(=O)c2ccc(-c3ccc(C(=O)[O-])nc3)cc2)cc1,,iridium (III) complex,0,714,0.113,,CH2Cl2,10.1016/j.synthmet.2021.116917,,1
Cc1c[c-]c(-c2cnc3cc(C)c(C)cc3n2)cc1C,Cc1c[c-]c(-c2cnc3cc(C)c(C)cc3n2)cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L1)2(bipy)]+,1,628,0.03,1.886,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Cc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1C,Cc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L2)2(bipy)]+,1,655,0.01,0.659,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Fc1c[c-]c(-c2cnc3ccccc3n2)cc1,Fc1c[c-]c(-c2cnc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L5)2(bipy)]+,1,590,0.04,3.416,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Cc1cc2ncc(-c3[c-]cc(F)cc3)nc2cc1C,Cc1cc2ncc(-c3[c-]cc(F)cc3)nc2cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L6)2(bipy)]+,1,585,0.08,4.872,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Fc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1,Fc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L7)2(bipy)]+,1,594,0.09,1.387,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Fc1[c-]c(-c2cnc3ccccc3n2)cc(F)c1F,Fc1[c-]c(-c2cnc3ccccc3n2)cc(F)c1F,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L8)2(bipy)]+,1,579,0.08,5.322,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Cc1cc2ncc(-c3[c-]c(F)c(F)c(F)c3)nc2cc1C,Cc1cc2ncc(-c3[c-]c(F)c(F)c(F)c3)nc2cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L9)2(bipy)]+,1,584,0.1,6.518,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Fc1[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc(F)c1F,Fc1[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc(F)c1F,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L10)2(bipy)]+,1,583,0.11,1.446,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Cc1cc(-c2[c-]cc(Cl)c(C(F)(F)F)c2)nc2ccccc12,Cc1cc(-c2[c-]cc(Cl)c(C(F)(F)F)c2)nc2ccccc12,Cc1ccnc(-c2cc(C)ccn2)c1,FC(C1=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1)(F)F,Ir1,1,538,0.98,2.15,CH2Cl2,10.1002/adpr.202100115,,1
