L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
Fc1ccc(-c2ccc3nc(-c4[c-]cccc4)ccc3c2)cc1,Fc1ccc(-c2ccc3nc(-c4[c-]cccc4)ccc3c2)cc1,CC(=O)/C=C(/C)[O-],,8,0,603,0.46,,CH2Cl2,10.1002/chem.201504392,,1
[c-]1ccccc1-c1cc(-c2ccccc2)c2cc(-c3ccccc3)ccc2n1,[c-]1ccccc1-c1cc(-c2ccccc2)c2cc(-c3ccccc3)ccc2n1,CC(=O)/C=C(/C)[O-],,9,0,618,0.58,,CH2Cl2,10.1002/chem.201504392,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CC(=O)/C=C(/C)[O-],,Irpq2acac,0,596,0.86,,CH2Cl2,10.1002/chem.201504392,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,1,0,710,0.16,1.4,CH2Cl2,10.1002/anie.201509798,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,O=C(/C=C(\[O-])C(F)(F)F)c1cccs1,,2,0,704,0.07,0.72,CH2Cl2,10.1002/anie.201509798,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,O=C(/C=C(\[O-])c1cccs1)c1cccs1,,3,0,707,0.14,1.44,CH2Cl2,10.1002/anie.201509798,,1
CC(C)(C)c1c[c-]c(-c2ncccn2)cc1,CC(C)(C)c1c[c-]c(-c2ncccn2)cc1,CC(=O)/C=C(/C)[O-],,M1,0,526,0.99,1.02,CH2Cl2,10.1021/acs.inorgchem.5b02625,,1
COc1cc[c-]c(-c2ccc(C)cn2)c1,COc1cc[c-]c(-c2ccc(C)cn2)c1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1a,1,710,0.002,0.0047,CH3CN,10.1038/srep12325,,1
COc1cc[c-]c(-c2ccc(C)cn2)c1,COc1cc[c-]c(-c2ccc(C)cn2)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,1b,1,680,0.003,0.01,CH3CN,10.1038/srep12325,,1
COc1c[c-]c(-c2ccc(C)cn2)cc1,COc1c[c-]c(-c2ccc(C)cn2)cc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,2a,1,618,0.057,0.194,CH3CN,10.1038/srep12325,,1
COc1c[c-]c(-c2ccc(C)cn2)cc1,COc1c[c-]c(-c2ccc(C)cn2)cc1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,2b,1,595,0.154,0.388,CH3CN,10.1038/srep12325,,1
COc1c[c-]c(-c2ccc(C)cn2)cc1OC,COc1c[c-]c(-c2ccc(C)cn2)cc1OC,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,3a,1,730,0.003,0.0016,CH3CN,10.1038/srep12325,,1
COc1c[c-]c(-c2ccc(C)cn2)cc1OC,COc1c[c-]c(-c2ccc(C)cn2)cc1OC,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,3b,1,700,0.001,0.0032,CH3CN,10.1038/srep12325,,1
COc1[c-]c(-c2ccc(C)cn2)cc(OC)c1OC,COc1[c-]c(-c2ccc(C)cn2)cc(OC)c1OC,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,4a,1,720,0.002,0.00166,CH3CN,10.1038/srep12325,,1
COc1[c-]c(-c2ccc(C)cn2)cc(OC)c1OC,COc1[c-]c(-c2ccc(C)cn2)cc(OC)c1OC,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,4b,1,685,0.002,0.0032,CH3CN,10.1038/srep12325,,1
[c-]1cc(-c2cccs2)sc1-c1cc(-c2ccccc2)c2ccccc2n1,[c-]1cc(-c2cccs2)sc1-c1cc(-c2ccccc2)c2ccccc2n1,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,1,1,696,0.0009,4.7,CH2Cl2,10.1016/j.matchemphys.2015.06.020,,1
[c-]1cc(-c2cccs2)sc1-c1cc(-c2ccccc2)c2ccccc2n1,[c-]1cc(-c2cccs2)sc1-c1cc(-c2ccccc2)c2ccccc2n1,CC(=O)/C=C(/C)[O-],,2,0,707,0.0034,4.6,CH2Cl2,10.1016/j.matchemphys.2015.06.020,,1
Cc1cc(-c2[c-]cc(-c3cccs3)s2)nc2ccccc12,Cc1cc(-c2[c-]cc(-c3cccs3)s2)nc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,3,1,693,0.0006,5.0,CH2Cl2,10.1016/j.matchemphys.2015.06.020,,1
Cc1cc(-c2[c-]cc(-c3cccs3)s2)nc2ccccc12,Cc1cc(-c2[c-]cc(-c3cccs3)s2)nc2ccccc12,CC(=O)/C=C(/C)[O-],,4,0,703,0.0009,5.1,CH2Cl2,10.1016/j.matchemphys.2015.06.020,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,C[n+]1[c-]n(Cn2[c-][n+](C)cc2)cc1,[Cl-],1,1,474,0.0157,0.155,CH2Cl2,10.1016/j.biomaterials.2014.10.070,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC[n+]1[c-]n(Cn2[c-][n+](CC)cc2)cc1,[Cl-],2,1,474,0.0181,0.171,CH2Cl2,10.1016/j.biomaterials.2014.10.070,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCC[n+]1[c-]n(Cn2[c-][n+](CCCC)cc2)cc1,[Cl-],3,1,474,0.0191,0.181,CH2Cl2,10.1016/j.biomaterials.2014.10.070,,1
[c-]1ccsc1-c1ncc2ccccc2n1,[c-]1ccsc1-c1ncc2ccccc2n1,O=C([O-])c1ccccn1,,Ir1,0,602,0.15,0.38,CH2Cl2,10.1039/C5RA17437F,,1
[c-]1ccsc1-c1nc(N2CCCCC2)c2ccccc2n1,[c-]1ccsc1-c1nc(N2CCCCC2)c2ccccc2n1,O=C([O-])c1ccccn1,,Ir2,0,586,0.26,0.65,CH2Cl2,10.1039/C5RA17437F,,1
Cc1cccc(C)c1Oc1nc(-c2[c-]ccs2)nc2ccccc12,Cc1cccc(C)c1Oc1nc(-c2[c-]ccs2)nc2ccccc12,O=C([O-])c1ccccn1,,Ir3,0,586,0.34,0.79,CH2Cl2,10.1039/C5RA17437F,,1
[c-]1ccsc1-c1nc(N(c2ccccc2)c2ccccc2)c2ccccc2n1,[c-]1ccsc1-c1nc(N(c2ccccc2)c2ccccc2)c2ccccc2n1,O=C([O-])c1ccccn1,,Ir4,0,619,0.6,0.7,CH2Cl2,10.1039/C5RA17437F,,1
FC(F)(F)c1c[c-]c(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)cc1,FC(F)(F)c1c[c-]c(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)cc1,O=C([O-])c1ccccn1,,1,0,558,0.55,1.88,CH2Cl2,10.1039/C4NJ01334D,,1
Cc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,Cc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,O=C([O-])c1ccccn1,,2,0,574,0.53,1.92,CH2Cl2,10.1039/C4NJ01334D,,1
COc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,COc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,O=C([O-])c1ccccn1,,3,0,569,0.56,1.94,CH2Cl2,10.1039/C4NJ01334D,,1
Cc1cc(C)cc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)c1,Cc1cc(C)cc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)c1,O=C([O-])c1ccccn1,,4,0,577,0.58,1.8,CH2Cl2,10.1039/C4NJ01334D,,1
COc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,COc1ccc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)cc1,CN(C)c1ccnc(C(=O)[O-])c1,,5,0,559,0.57,1.72,CH2Cl2,10.1039/C4NJ01334D,,1
Cc1cc(C)cc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)c1,Cc1cc(C)cc(-n2c(-c3[c-]cc(C(F)(F)F)cc3)nc3c4ccccc4c4ccccc4c32)c1,CN(C)c1ccnc(C(=O)[O-])c1,,6,0,562,0.59,1.74,CH2Cl2,10.1039/C4NJ01334D,,1
COc1c[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,COc1c[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2cc(C(F)(F)F)n[n-]2)c1,,1,0,458,0.79,7.7,CH2Cl2,10.1039/C5DT01844G,,1
COc1c[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,COc1c[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2[n-]c(C(F)(F)F)cc2C(F)(F)F)c1,,2,0,458,0.79,6.2,CH2Cl2,10.1039/C5DT01844G,,1
COc1n[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,COc1n[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2cc(C(F)(F)F)n[n-]2)c1,,3,0,444,0.91,4.2,CH2Cl2,10.1039/C5DT01844G,,1
COc1n[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,COc1n[c-]c(-c2cc(C(C)(C)C)ccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2[n-]c(C(F)(F)F)cc2C(F)(F)F)c1,,4,0,458,0.93,6.0,CH2Cl2,10.1039/C5DT01844G,,1
[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,580,0.33,0.53,CH2Cl2,10.1021/jp5073457,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,2,1,587,0.44,3.5,CH2Cl2,10.1021/jp5073457,,1
[c-]1ccc2ccccc2c1-c1ccccn1,[c-]1ccc2ccccc2c1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,3,1,585,0.18,5.7,CH2Cl2,10.1021/jp5073457,,1
[c-]1cc2ccccc2cc1-c1ccccn1,[c-]1cc2ccccc2cc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,4,1,604,0.089,0.2,CH2Cl2,10.1021/jp5073457,,1
[c-]1cc2ccc3cccc4ccc(c1-c1ccccn1)c2c34,[c-]1cc2ccc3cccc4ccc(c1-c1ccccn1)c2c34,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,5,1,680,0.0046,9.5,CH2Cl2,10.1021/jp5073457,,1
[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,6,1,570,0.024,30.3,CH2Cl2,10.1021/jp5073457,,1
[c-]1cc2c3cccc4cccc(c5cccc(c1-c1ccccn1)c25)c43,[c-]1cc2c3cccc4cccc(c5cccc(c1-c1ccccn1)c25)c43,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,7,1,570,,,CH2Cl2,10.1021/jp5073457,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F,3a,1,682,0.11,,CH2Cl2,10.1007/s10895-014-1443-7,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,3b,1,682,0.1,,CH2Cl2,10.1007/s10895-014-1443-7,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,3c,1,683,0.12,,CH2Cl2,10.1007/s10895-014-1443-7,,1
[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,O=C([O-])c1ccccn1,,3d,0,698,0.12,,CH2Cl2,10.1007/s10895-014-1443-7,,1
[c-]1ccccc1-c1nc2ccccc2n1Cc1ccccc1,[c-]1ccccc1-c1nc2ccccc2n1Cc1ccccc1,O=C([O-])c1ccccn1,,1,0,526,0.48,1.68,CH2Cl2,10.1016/j.jorganchem.2014.03.002,,1
Fc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(F)cc2)cc1,Fc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(F)cc2)cc1,O=C([O-])c1ccccn1,,2,0,512,0.32,1.6,CH2Cl2,10.1016/j.jorganchem.2014.03.002,,1
Cc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(C)cc2)cc1,Cc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(C)cc2)cc1,O=C([O-])c1ccccn1,,3,0,521,0.42,1.79,CH2Cl2,10.1016/j.jorganchem.2014.03.002,,1
COc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(OC)cc2)cc1,COc1c[c-]c(-c2nc3ccccc3n2Cc2ccc(OC)cc2)cc1,O=C([O-])c1ccccn1,,4,0,515,0.38,1.71,CH2Cl2,10.1016/j.jorganchem.2014.03.002,,1
FC(F)(F)c1ccc(-c2[c-]cccc2)nc1,FC(F)(F)c1ccc(-c2[c-]cccc2)nc1,CC(=O)/C=C(/C)[O-],,1,0,554,0.274,0.13,CH2Cl2,10.1002/ijch.201400076,,1
FC(F)(F)c1ccc(-c2[c-]cc(Oc3ccccc3)cc2)nc1,FC(F)(F)c1ccc(-c2[c-]cc(Oc3ccccc3)cc2)nc1,CC(=O)/C=C(/C)[O-],,2,0,533,0.26,0.12,CH2Cl2,10.1002/ijch.201400076,,1
O=S(=O)(c1c[c-]c(-c2ccc(C(F)(F)F)cn2)cc1)c1ccccc1,O=S(=O)(c1c[c-]c(-c2ccc(C(F)(F)F)cn2)cc1)c1ccccc1,CC(=O)/C=C(/C)[O-],,3,0,571,0.723,0.42,CH2Cl2,10.1002/ijch.201400076,,1
FC(F)(F)c1ccc(-c2[c-]cc(N(c3ccccc3)c3ccccc3)cc2)nc1,FC(F)(F)c1ccc(-c2[c-]cc(N(c3ccccc3)c3ccccc3)cc2)nc1,CC(=O)/C=C(/C)[O-],,4,0,560,0.249,0.13,CH2Cl2,10.1002/ijch.201400076,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,1,1,590,0.009,0.273,CH3CN,10.1021/ic402778x,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,590,0.064,3.5,CH3CN,10.1021/ic402778x,,1
[c-]1c(-c2ccccn2)sc2ccccc12,[c-]1c(-c2ccccn2)sc2ccccc12,COc1ccnc(-c2cc(OC)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,592,0.107,3.9,CH3CN,10.1021/ic402778x,,1
COc1c[c-]c(-c2ccccn2)c(C)n1,COc1c[c-]c(-c2ccccn2)c(C)n1,O=C([O-])c1ccccn1,,EB343,0,466,0.54,1.29,CH3CN,10.1039/C3DT52739E,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C([O-])c1ccccn1,,FIrPic,0,469,0.61,1.69,CH3CN,10.1039/C3DT52739E,,1
COc1c[c-]c(-c2cc(C)ccn2)c(C)n1,COc1c[c-]c(-c2cc(C)ccn2)c(C)n1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,1,1,515,0.41,1.34,CH3CN,10.1039/C4TC00542B,,1
COc1c[c-]c(-c2cc(C)ccn2)c(OC)n1,COc1c[c-]c(-c2cc(C)ccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,2,1,517,0.53,1.3,CH3CN,10.1039/C4TC00542B,,1
COc1c[c-]c(-c2ccccn2)c(OC)n1,COc1c[c-]c(-c2ccccn2)c(OC)n1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,3,1,510,0.66,1.36,CH3CN,10.1039/C4TC00542B,,1
Cc1ccc(-c2[c-]cc(C)nc2)nc1,Cc1ccc(-c2[c-]cc(C)nc2)nc1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,4,1,514,0.45,1.83,CH3CN,10.1039/C4TC00542B,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,O=C([O-])c1cnccn1,,1,0,526,0.22,1.3,CH2Cl2,10.1021/om400770h,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,O=C([O-])c1nccc2ccccc12,,2,0,555,0.6,1.9,CH2Cl2,10.1021/om400770h,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,O=C([O-])c1ccc2ccccc2n1,,3,0,539,0.7,2.5,CH2Cl2,10.1021/om400770h,,1
COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,O=C([O-])c1ccccn1,,4,0,454,0.75,2.4,CH2Cl2,10.1021/om400770h,,1
COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,O=C([O-])c1cnccn1,,5,0,530,0.82,1.4,CH2Cl2,10.1021/om400770h,,1
COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,O=C([O-])c1nccc2ccccc12,,6,0,558,0.31,3.34,CH2Cl2,10.1021/om400770h,,1
COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,COCCOc1c[c-]c(-c2ccccn2)c(OCCOC)n1,O=C([O-])c1ccc2ccccc2n1,,7,0,549,0.43,2.18,CH2Cl2,10.1021/om400770h,,1
COc1c[c-]c(-c2ccccn2)c(OC)n1,COc1c[c-]c(-c2ccccn2)c(OC)n1,O=C([O-])c1ccccn1,,8,0,467,0.7,2.1,CH2Cl2,10.1021/om400770h,,1
Fc1c[c-]c(-c2ccccn2)c(F)n1,Fc1c[c-]c(-c2ccccn2)c(F)n1,O=C([O-])c1ccccn1,,Ir(dfpypy)2pic,0,445,0.9,2.3,CH2Cl2,10.1021/om400770h,,1
Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1,Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,1a,1,498,0.74,1.2,CH3CN,10.1002/ejic.201300849,,1
Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1,Fc1c[c-]c(-c2cn(Cc3ccccc3)nn2)c(F)c1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,1b,1,495,0.47,6.18,CH3CN,10.1002/ejic.201300849,,1
Cc1ccc(-c2[c-]cc(F)cc2F)nc1,Cc1ccc(-c2[c-]cc(F)cc2F)nc1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,2a,1,512,0.76,1.19,CH3CN,10.1002/ejic.201300849,,1
Cc1ccc(-c2[c-]cc(F)cc2F)nc1,Cc1ccc(-c2[c-]cc(F)cc2F)nc1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,2b,1,494,0.74,3.13,CH3CN,10.1002/ejic.201300849,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,3a,1,519,0.78,1.35,CH3CN,10.1002/ejic.201300849,,1
Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F,3b,1,490,0.73,3.69,CH3CN,10.1002/ejic.201300849,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,Ir0,1,600,0.043,,toluene,10.1016/j.dyepig.2012.07.020,,1
[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,Ir1,1,569,0.076,,toluene,10.1016/j.dyepig.2012.07.020,,1
[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,[c-]1ccccc1-c1nc2c3cccc4ccc5cccc(c5c43)c2n1-c1ccccc1,CCN(CC)c1ccc2cc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c(=O)oc2c1,F[P-](F)(F)(F)(F)F,Ir2,1,607,0.034,,toluene,10.1016/j.dyepig.2012.07.020,,1
Cc1nc2cc3ccccc3cc2nc1-c1[c-]cccc1,Cc1nc2cc3ccccc3cc2nc1-c1[c-]cccc1,CC(=O)/C=C(/C)[O-],,1,0,777,0.015,0.28,CH2Cl2,10.1039/c3tc30866a,,1
Cc1nc2cc3ccccc3cc2nc1-c1[c-]cccc1,Cc1nc2cc3ccccc3cc2nc1-c1[c-]cccc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,F[P-](F)(F)(F)(F)F,2,1,776,0.002,0.35,CH2Cl2,10.1039/c3tc30866a,,1
[c-]1cc2c(cc1-c1nc3ccccc3s1)c1ccccc1n2-c1ccccc1,[c-]1cc2c(cc1-c1nc3ccccc3s1)c1ccccc1n2-c1ccccc1,CC(=O)/C=C(/C)[O-],,2,0,559,0.34,2.76,CH2Cl2,10.1039/c3tc30586d,,1
CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2c[c-]c(-c3nc4ccccc4s3)cc21,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2c[c-]c(-c3nc4ccccc4s3)cc21,CC(=O)/C=C(/C)[O-],,4,0,596,0.16,2.2,CH2Cl2,10.1039/c3tc30586d,,1
[c-]1cc2c3ccccc3n(-c3ccccc3)c2cc1-c1nc2ccccc2s1,[c-]1cc2c3ccccc3n(-c3ccccc3)c2cc1-c1nc2ccccc2s1,CC(=O)/C=C(/C)[O-],,5,0,630,0.18,3.53,CH2Cl2,10.1039/c3tc30586d,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,1a,0,474,0.91,0.97,toluene,10.1016/j.dyepig.2012.05.026,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,CCCCOc1ccc(C(=O)/C=C(\[O-])c2ccc(OCCCC)c(OCCCC)c2)cc1OCCCC,,1b,0,558,0.31,1.0,toluene,10.1016/j.dyepig.2012.05.026,,1
FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,FC(F)(F)c1[c-]c(-c2ccccn2)cc(C(F)(F)F)c1,O=C(/C=C(\[O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1)c1ccc(-c2cccc3c2oc2ccccc23)cc1,,1c,0,604,0.083,0.21,toluene,10.1016/j.dyepig.2012.05.026,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,2a,0,521,0.14,0.29,toluene,10.1016/j.dyepig.2012.05.026,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCOc1ccc(C(=O)/C=C(\[O-])c2ccc(OCCCC)c(OCCCC)c2)cc1OCCCC,,2b,0,633,0.006,0.02,toluene,10.1016/j.dyepig.2012.05.026,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(/C=C(\[O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1)c1ccc(-c2cccc3c2oc2ccccc23)cc1,,2c,0,661,0.003,0.52,toluene,10.1016/j.dyepig.2012.05.026,,1
FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,3a,0,541,0.43,1.14,toluene,10.1016/j.dyepig.2012.05.026,,1
FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,CCCCOc1ccc(C(=O)/C=C(\[O-])c2ccc(OCCCC)c(OCCCC)c2)cc1OCCCC,,3b,0,543,0.51,1.25,toluene,10.1016/j.dyepig.2012.05.026,,1
FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,FC(F)(F)c1c[c-]c(-c2ccccn2)c(C(F)(F)F)c1,O=C(/C=C(\[O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1)c1ccc(-c2cccc3c2oc2ccccc23)cc1,,3c,0,566,0.53,1.09,toluene,10.1016/j.dyepig.2012.05.026,,1
[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,[c-]1ccc2c(oc3ccccc32)c1-c1nccc2ccccc12,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,4a,0,639,0.55,1.04,toluene,10.1016/j.dyepig.2012.05.026,,1
